id,card_no,name_cn,name_jp,craft,card_type,type,rare,from,cost,attack,life,desc_cn,desc_jp,related_card_nos,title,race,drawer,speech
6528,PCS01-025,日和莉,ヒヨリ,Dragon,Follower,プリコネ・トゥインクルウィッシュ,SL,PCS01,4,4,4,"《UB》【攻击时】选择敌方场上的1个从者。给予其与其主战者各2点伤害。如果自己的PP最大值为10点的话，转变为4点伤害。
----------
【突进】
《入场曲》从自己的牌堆之中搜寻原始消费为1的1张破晓之星类型·从者卡，并置于EX区域。","UB【攻撃時】相手の場のフォロワー1体を選ぶ。それとそれのリーダーに2ダメージ。自分のPP最大値が10なら、代わりに4ダメージ。
----------
【突進】
ファンファーレ自分のデッキから元のコスト1のトゥインクルウィッシュ・フォロワー1枚を探し、EXエリアに置く。",,プリンセスコネクト！Re:Dive,,,"あたしはこの火の力で、みんなを暖かく包み込みたいんだっ！
炎は熱く激しいだけじゃないって、見せてあげちゃうよーっ！"
6529,PCS01-026,祈梨,イノリ,Dragon,Follower,プリコネ・ドラゴンズネスト,SL,PCS01,2,2,2,"《UB》《起动》将这张卡《横置》：给予敌方的全体主战者与敌方场上的全体从者各1点伤害。这个能力在处于【觉醒】状态的话才可使用。（如果自己的PP最大值为7点及以上的话，就会处于【觉醒】状态）
----------
《进化》《消费1》：使这张卡进化。","UB起動これをアクト：相手のリーダーすべてと相手の場のフォロワーすべてに1ダメージ。この能力は【覚醒】状態なら使える。
----------
進化コスト1：これは進化する。",CP04-064,プリンセスコネクト！Re:Dive,,,"あたしが覚醒するにはお兄さんが必要ですからね。
ふふーん。頼まれたって離れてやんねーですよ！"
6530,PCS01-027,香织,カオリ,Dragon,Follower,プリコネ・カォン,SL,PCS01,3,3,3,"《UB》【攻击时】《消费2》：给予敌方的全体主战者各3点伤害。
----------
【突进】（持有【突进】能力的从者，在召唤到场上的当回合即可攻击敌方的从者）
只要自己的场上有其他的公主连结类型·从者存在，使这张卡获得【疾驰】能力。","UB【攻撃時】コスト2：相手のリーダーすべてに3ダメージ。
----------
【突進】
自分の場に他のプリコネ・フォロワーがいる限り、これは【疾走】を持つ。",,プリンセスコネクト！Re:Dive,,,"キミ、見て見て～お月さまと夜のダンスさ～！
キラキラして、綺麗でしょー？……あは～、見つめすぎだよ～♪"
6531,PCS01-028,恶作剧宣言,イタズラ宣言,Dragon,Amulet,プリコネ・リトルリリカル,SL,PCS01,1,-1,-1,"《入场曲》每位玩家，各抽取1张卡。
《谢幕曲》给予敌方的全体主战者各1点伤害。","ファンファーレ各プレイヤーは、1枚引く。
ラストワード相手のリーダーすべてに1ダメージ。",,プリンセスコネクト！Re:Dive,,,"ミソギがイタズラを用意する……にいちゃんが引っかかる……。
うんっ、最高のコンビだね！"
6532,PCS01-029,伊莉亚,イリヤ,Nightmare,Follower,プリコネ・ディアボロス,SL,PCS01,2,2,2,"《UB》《起动》将这张卡《横置》将墓场中的5张卡片消失：选择敌方场上的1个从者。给予其3点伤害。使自己的主战者《生命值》+3。
----------
《进化》《消费1》：使这张卡进化。
《入场曲》《消费2》：将1张『夜之牙暗斧』卡装备到这张卡。","UB起動これをアクト墓場のカード5枚を消滅：相手の場のフォロワー1体を選ぶ。それに3ダメージ。自分のリーダーは体力+3する。
----------
進化コスト1：これは進化する。
ファンファーレコスト2：これは『闇斧ナハトファング』1枚を装備する。",CP04-T11 PCS01-030,プリンセスコネクト！Re:Dive,,,"見事な晴れ着姿じゃろう？特にこの羽織は気に入っておる。
いかにも支配者らしい風格があるからのう♪"
6533,PCS01-030,伊莉亚,イリヤ,Nightmare,FollowerEvo,プリコネ・ディアボロス,SL,PCS01,-1,3,3,"《UB》《起动》将这张卡《横置》将墓场中的5张卡片消失：选择敌方场上的1个从者。给予其3点伤害。使自己的主战者《生命值》+3。
----------
【进化时】从自己的牌堆之中搜寻1张公主连结类型·卡片，并置于墓场。
【超进化时】选择敌方场上的1个从者。给予其5点伤害。","UB起動これをアクト墓場のカード5枚を消滅：相手の場のフォロワー1体を選ぶ。それに3ダメージ。自分のリーダーは体力+3する。
----------
【進化時】自分のデッキからプリコネ・カード1枚を探し、墓場に置く。
【超進化時】相手の場のフォロワー1体を選ぶ。それに5ダメージ。",PCS01-029,プリンセスコネクト！Re:Dive,,,"わらわの艶姿を隣で楽しめるのは、お主だけの特権じゃぞ。
特別な眷属であることを誇りに思うがよい♪"
6534,PCS01-031,忍,シノブ,Nightmare,Follower,プリコネ・ディアボロス,SL,PCS01,3,3,3,"《UB》《入场曲》选择敌方场上的1个从者。给予其与「自己场上的恶魔伪王国军类型·从者的数量」等量的伤害。
----------
《进化》《消费1》：使这张卡进化。
当自己场上的其他的从者的《UB》能力发动时，将自己的牌堆顶1张卡置于墓场。","UBファンファーレ相手の場のフォロワー1体を選ぶ。それに「自分の場のディアボロス・フォロワーの数」と同じダメージ。
----------
進化コスト1：これは進化する。
自分の場の他のフォロワーのUB能力が発動したとき、自分のデッキの上1枚を墓場に置く。",PCS01-032,プリンセスコネクト！Re:Dive,,,"あなたがそばにいれば、何も恐れるものはありません。
降りかかる不安や恐怖は、私が全て刈りとります。"
6535,PCS01-032,忍,シノブ,Nightmare,FollowerEvo,プリコネ・ディアボロス,SL,PCS01,-1,4,4,"当自己场上的其他的从者的《UB》能力发动时，将自己的牌堆顶1张卡置于墓场。
【进化时】将1个『骷髅老爸』召唤到场上。","自分の場の他のフォロワーのUB能力が発動したとき、自分のデッキの上1枚を墓場に置く。
【進化時】『ドクロ親父』1体を場に出す。
―――――――――――――――
『ドクロ親父』ナイトメアプリコネ・ディアボロス・フォロワーコスト1攻撃力2/体力1【突進】ラストワード自分の場のディアボロス・フォロワー2体まで選ぶ。それは攻撃力+1する。",CP04-T10 PCS01-031,プリンセスコネクト！Re:Dive,,,"あなたが迷った時は、私にも力にならせてください。
暗夜の灯火となるように、あなたの進む道を占いますから。"
6536,PCS01-033,怜,レイ,Nightmare,Follower,プリコネ・トゥインクルウィッシュ,SL,PCS01,1,1,2,"《UB》【攻击时】使这张卡《攻击力》+1。如果不包含这个能力，这个回合中自己的《UB》能力已发动2次及以上的话，转变为《攻击力》+2。
----------
【突进】","UB【攻撃時】これは攻撃力+1する。これを含めず、このターン中に自分のUB能力が2回以上発動していたなら、代わりに攻撃力+2する。
----------
【突進】",,プリンセスコネクト！Re:Dive,,,"キミとの心の繋がりが、新たな風を呼ぶ力となる！
進むべき道を切り拓くための……これが私の覚悟の姿だ！"
6537,PCS01-034,依里,ヨリ,Nightmare,Follower,プリコネ・ディアボロス,SL,PCS01,2,2,2,"《进化》《消费1》：使这张卡进化。
《入场曲》选择敌方场上的1个从者。如果这张卡从手牌以外召唤到场上的话，给予其2点伤害。","進化コスト1：これは進化する。
ファンファーレ相手の場のフォロワー1体を選ぶ。これが手札以外から場に出ていたなら、それに2ダメージ。",CP04-082,プリンセスコネクト！Re:Dive,,,"こ、こういうかわいいのってアカリの得意分野なのに……。
でも、今なら私だって……し、しっかり見てなさいよ！"
6538,PCS01-035,茜里,アカリ,Nightmare,Follower,プリコネ・ディアボロス,SL,PCS01,3,2,2,"《UB》《起动》《消费0》：选择自己场上的其他的1个恶魔伪王国军类型·从者。使其《攻击力》+1。这个能力在1回合可以使用1次。
----------
《入场曲》选择自己的墓场中的1张「与这张卡不同名的恶魔伪王国军类型·从者卡」。将其置于EX区域。这个回合，将其使用之际，将其消费-2。","UB起動コスト0：自分の場の他のディアボロス・フォロワー1体を選ぶ。それは攻撃力+1する。この能力は1ターンに1回使える。
----------
ファンファーレ自分の墓場の「これと同名を除くディアボロス・フォロワー」1枚を選ぶ。それをEXエリアに置く。このターン、それをプレイする際、コストを-2する。",,プリンセスコネクト！Re:Dive,,,"この格好、お姉ちゃんとお揃いでとってもかわいいですよね？
アカリ、お気に入りなんです。お姉ちゃんは照れてますけど♪"
6539,PCS01-036,宫子,ミヤコ,Nightmare,Follower,プリコネ・ディアボロス,SL,PCS01,1,2,2,"《UB》《起动》《消费4》：选择敌方场上的1个从者。将其消失。使自己的主战者《生命值》+2。
----------
《入场曲》查看自己的牌堆顶5张卡。从那之中，可以将1张恶魔伪王国军类型·从者卡公开并加入手牌。将剩余的卡以任意顺序置于牌堆底。如果将恶魔伪王国军类型·从者卡公开的话，将自己的1张手牌舍弃。","UB起動コスト4：相手の場のフォロワー1体を選ぶ。それを消滅させる。自分のリーダーは体力+2する。
----------
ファンファーレ自分のデッキの上5枚を見る。その中から、ディアボロス・フォロワー1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。ディアボロス・フォロワーを公開したなら、自分の手札1枚を捨てる。",,プリンセスコネクト！Re:Dive,,,みんなみんな、おいしいプリンにしてやるの～♪
6540,PCS01-037,伊绪,イオ,Nightmare,Follower,プリコネ・ルーセント学院,SL,PCS01,5,3,4,"《UB》《起动》《消费1》：使敌方的全体玩家，各将自身场上的1个从者置于墓场。这个能力在1回合可以使用1次。
----------
《入场曲》从自己的牌堆之中搜寻原始消费为3及以下的1张月光学院类型·从者卡与原始消费为1的1张月光学院类型·从者卡，并召唤到场上。使其《入场曲》能力不能触发。","UB起動コスト1：相手プレイヤーすべては、自身の場のフォロワー1体を墓場に置く。この能力は1ターンに1回使える。
----------
ファンファーレ自分のデッキから元のコスト3以下のルーセント学院・フォロワー1枚と元のコスト1のルーセント学院・フォロワー1枚を探し、場に出す。それのファンファーレ能力は誘発しない。",,プリンセスコネクト！Re:Dive,,,"たまには愛の鞭も必要かしら！
あれ？どうしてうれしそうな顔をするの？"
6541,PCS01-038,罗刹涅槃·无式,羅刹涅槃・無式,Nightmare,Spell,プリコネ・トワイライトキャラバン,SL,PCS01,1,-1,-1,"《快速》
选择敌方场上的1个从者。给予其2点伤害。查看自己的牌堆顶1张卡。从那之中，可以将1张公主连结类型·卡片置于墓场。","クイック
相手の場のフォロワー1体を選ぶ。それに2ダメージ。自分のデッキの上1枚を見る。その中から、プリコネ・カード1枚を墓場に置いてよい。",,プリンセスコネクト！Re:Dive,,,"我が封印は完全に解かれた！
魂の盟友と共にある限り、疾風の冥姫は止められん！"
6542,PCS01-039,咲恋,サレン,Haven,Follower,プリコネ・サレンディア救護院,SL,PCS01,5,3,3,"《进化》《消费1》：使这张卡进化。
《入场曲》从下述之中抉择1项。如果自己的主战者的生命值为10及以下的话，转变为最多2项。
【1】将1张『辉煌羽饰』卡装备到这张卡。
【2】直到原始消费的合计变为3及以下、从自己的牌堆之中搜寻咲恋救济院类型·从者卡最多2张，并召唤到场上。","進化コスト1：これは進化する。
ファンファーレ下記から1つチョイスする。自分のリーダーの体力が10以下なら、代わりに2つまで。
【1】これは『グロリアスフェザー』1枚を装備する。【2】自分のデッキからサレンディア救護院・フォロワーを元のコストの合計が3以下になるように2枚まで探し、場に出す。",CP04-T12 PCS01-040,プリンセスコネクト！Re:Dive,,,"ここから見える庭がとっても素敵なのよ。ふふっ♪
ちょっとお行儀悪いけど今だけ満喫しましょ。ほら、あんたも♪"
6543,PCS01-040,秋乃&咲恋,アキノ＆サレン,Haven,FollowerEvo,プリコネ・サレンディア救護院,SL,PCS01,-1,4,4,,"UB【進化時】相手の場のフォロワー1体を選ぶ。それに4ダメージ。それ以外の相手の場のフォロワーすべてに1ダメージ。
----------
【超進化時】相手のリーダーすべてと相手の場のフォロワーすべてに2ダメージ。",CP04-092 PCS01-039,プリンセスコネクト！Re:Dive,,,"アキノさんに好敵手って呼んでもらえる以上、
後れを取るわけにはいかないわ！あたしの全力、見せてあげる！"
6544,PCS01-041,优衣,ユイ,Haven,Follower,プリコネ・トゥインクルウィッシュ,SL,PCS01,1,1,1,《进化》《消费1》：使这张卡进化。,進化コスト1：これは進化する。,CP04-096,プリンセスコネクト！Re:Dive,,,"世界に満ちる光の精霊たちよ……！ わたしに――
わたしと騎士クンに力を貸して！未来を照らすために！"
6545,PCS01-042,由加莉,ユカリ,Haven,Follower,プリコネ・メルクリウス財団,SL,PCS01,2,2,3,"《UB》《入场曲》将场上的1个护符《横置》：选择自己场上的其他的1个从者。使其《生命值》+2。
----------
【守护】
《起动》将这张卡《横置》：将自己场上的全体护符各竖置。","UBファンファーレ場のアミュレット1つをアクト：自分の場の他のフォロワー1体を選ぶ。それは体力+2する。
----------
【守護】
起動これをアクト：自分の場のアミュレットすべてをスタンドする。",,プリンセスコネクト！Re:Dive,,,"んふふ～気持ちいい～♪ほら、キミも飲も飲も！
もちろんキミはジュースだからね。はい、かんぱーいっ！"
